cgpa_gap,skill_match_count,current_year,tenth_pct,twelfth_pct,is_eligible
0.93,1,1,79.4,74.4,0
0.32,6,2,71.6,63.6,1
0.06,5,3,100.0,84.7,1
0.34,3,1,63.9,71.4,1
-0.95,0,4,72.2,71.4,0
-0.76,4,1,72.9,79.1,0
-0.66,6,4,98.4,74.6,1
-0.4,0,1,64.8,85.2,0
0.72,0,2,82.3,65.7,1
-0.32,3,3,80.5,60.6,0
0.1,4,2,81.3,72.6,1
1.44,3,3,90.4,76.7,1
0.11,3,3,90.2,62.4,1
0.99,2,3,73.5,60.7,1
-0.35,0,2,79.9,78.0,0
0.24,0,4,59.4,67.7,0
-0.36,0,3,79.0,60.0,0
0.13,5,2,70.1,86.6,1
1.07,6,3,76.1,69.1,1
-0.98,3,4,61.1,88.6,0
0.75,0,4,82.0,76.3,0
0.59,3,3,61.0,79.2,1
-0.08,7,4,79.5,73.7,1
-0.76,1,4,65.7,46.8,0
0.46,3,2,69.5,63.5,1
-0.02,4,3,89.5,74.6,1
0.59,2,1,83.9,80.0,1
0.42,3,2,89.5,56.3,1
1.68,3,4,93.6,75.4,1
0.21,3,2,70.3,63.7,1
-0.42,5,4,93.0,78.6,1
0.54,4,2,63.3,75.8,1
0.58,0,1,85.5,84.2,0
1.49,0,1,73.1,87.7,1
1.07,3,3,68.7,81.0,1
0.69,7,2,84.1,85.5,1
1.57,0,3,87.4,72.1,1
-0.55,0,1,87.2,100.0,0
-0.11,5,2,80.1,62.6,1
-0.34,3,1,79.3,70.2,0
0.09,1,2,83.3,85.9,1
-0.7,1,4,81.0,84.3,0
0.91,5,1,83.4,81.4,1
0.22,4,3,80.0,83.4,1
-0.78,5,1,86.4,53.1,0
-0.41,2,3,61.7,93.5,0
0.65,4,4,76.7,73.8,1
1.07,6,2,64.2,89.7,1
2.0,2,1,80.8,53.6,1
2.73,3,3,94.4,78.8,1
0.73,1,2,73.3,69.8,0
-0.39,5,4,79.3,82.3,1
-1.31,0,4,85.6,79.5,0
0.61,1,3,57.3,80.0,1
-0.25,5,3,72.8,64.4,1
0.07,0,3,81.6,75.4,0
-0.09,7,3,49.0,74.0,1
0.29,3,2,68.2,81.4,1
1.25,3,4,89.0,86.9,1
0.53,4,2,88.0,77.7,1
0.27,5,1,81.7,62.0,1
-0.43,3,3,86.8,77.2,1
-0.94,7,3,80.2,100.0,1
0.01,7,4,83.6,94.1,1
0.36,1,2,74.8,43.3,0
1.81,5,2,79.2,76.7,1
0.5,2,3,71.7,86.3,0
1.19,7,2,90.6,74.0,1
0.0,2,4,93.2,70.9,1
-0.55,2,2,91.8,73.1,0
-0.37,5,4,73.9,82.1,1
-0.18,6,2,68.5,63.4,1
2.1,1,1,90.8,89.1,1
-0.26,4,4,83.4,75.4,1
1.07,2,3,81.3,65.7,1
-0.32,4,3,71.7,88.4,1
1.15,4,3,82.3,59.0,1
0.71,7,2,67.1,69.9,1
0.27,7,4,84.3,69.7,1
0.37,5,2,91.8,99.6,1
-0.12,5,4,94.3,68.5,1
0.76,7,2,85.1,52.3,1
0.04,1,1,64.2,69.6,1
-0.58,5,1,80.0,81.0,1
-0.62,6,4,99.4,84.6,1
0.54,1,3,69.3,100.0,1
1.66,7,2,77.4,91.5,1
0.53,5,4,92.1,78.1,1
0.31,2,3,84.2,66.2,0
0.63,3,3,100.0,93.9,1
1.44,3,3,70.7,71.9,1
0.58,7,1,68.1,68.8,1
0.07,7,1,90.2,71.4,1
1.29,6,3,66.0,62.2,1
0.74,5,1,76.0,70.9,1
1.63,0,3,77.3,73.4,1
0.55,7,1,88.4,84.0,1
-0.58,1,2,84.1,71.7,0
-0.69,1,3,82.6,62.1,0
1.72,0,3,74.0,58.4,1
1.78,7,4,90.2,78.3,1
0.26,3,3,100.0,76.8,1
0.09,1,1,84.9,69.9,1
1.57,0,4,79.0,70.9,1
-0.49,3,1,65.0,80.3,0
-0.32,5,1,71.6,91.3,0
0.91,7,4,75.9,67.4,1
0.08,4,1,72.7,77.0,1
0.4,4,3,77.8,86.5,1
0.27,6,2,95.8,67.5,1
0.67,7,4,90.5,75.8,1
1.53,2,1,76.4,75.6,1
0.47,7,1,65.9,61.6,1
0.92,4,2,91.4,77.9,1
-1.24,7,2,77.5,76.3,1
0.36,0,4,60.7,82.1,1
-0.27,0,3,85.1,62.9,0
-0.58,7,1,88.3,76.1,1
-0.3,5,4,53.7,91.2,1
0.13,1,2,69.8,98.9,1
1.13,7,4,76.9,90.1,1
-0.66,0,4,85.3,63.1,0
0.42,5,1,72.8,81.0,1
0.01,1,3,69.7,70.7,1
0.14,0,2,85.3,79.1,0
1.2,6,2,73.3,67.5,1
0.83,6,2,83.4,57.2,1
1.47,0,3,66.9,72.2,1
0.28,0,2,64.5,83.9,0
-0.16,4,1,85.6,79.2,0
0.22,0,2,80.5,80.4,0
0.59,5,1,87.2,78.4,1
0.54,7,4,72.7,80.4,1
-0.47,6,3,70.0,81.8,0
0.47,1,2,91.6,73.0,1
0.58,1,2,62.8,76.9,1
2.41,5,1,90.5,95.2,1
1.9,0,2,91.2,77.6,1
-0.28,4,4,86.6,76.5,1
0.17,3,1,71.1,77.1,0
-0.77,5,1,69.8,73.6,0
-0.07,1,4,75.9,71.2,0
0.65,6,3,65.0,78.3,1
1.36,5,1,68.4,70.4,1
-0.18,1,2,84.4,74.4,0
-0.12,2,3,84.5,67.3,0
-1.32,0,2,67.5,77.2,0
0.27,3,2,84.8,82.4,1
-0.45,2,3,82.5,73.7,1
-0.02,0,3,93.1,53.9,1
-0.3,4,4,83.7,82.5,1
0.32,4,1,88.6,77.3,1
-1.01,0,2,82.8,65.1,0
-0.77,1,1,87.8,84.5,0
2.1,0,3,65.1,60.6,1
-0.63,5,3,76.8,87.5,0
-0.48,2,2,77.6,75.4,0
1.87,0,3,75.6,51.0,1
2.72,1,2,82.4,78.0,1
-0.54,7,1,84.3,71.5,1
0.11,2,3,81.9,69.9,0
0.67,5,2,76.2,67.9,1
1.78,3,2,70.6,74.6,1
-0.39,1,2,89.0,70.7,1
0.2,2,4,81.5,55.6,1
1.02,0,1,67.8,90.0,0
0.75,5,2,76.1,73.3,1
0.1,2,3,60.6,67.9,0
0.29,3,1,78.4,63.6,1
-0.7,1,1,76.0,84.5,0
0.21,6,3,72.3,61.7,1
0.19,1,3,93.8,77.5,1
0.59,4,3,66.4,69.6,1
-0.04,6,1,85.1,70.2,1
0.78,5,4,99.9,63.9,1
1.21,4,2,88.8,69.2,1
0.52,7,1,77.7,76.1,1
0.68,1,2,66.7,78.6,1
0.44,7,1,64.4,67.4,1
0.4,4,2,73.9,75.0,1
-0.18,3,2,71.1,85.8,1
0.65,2,2,70.8,57.7,1
0.32,5,2,74.7,75.9,1
2.07,7,4,77.0,65.5,1
1.66,5,4,82.9,64.4,1
0.71,0,2,65.6,78.9,1
-0.21,3,4,71.2,70.0,1
-0.49,5,4,76.4,62.6,1
1.35,3,4,76.0,90.6,1
0.61,6,1,96.4,86.1,1
0.78,5,2,80.3,54.7,1
-1.0,0,2,61.9,59.8,0
1.14,4,1,82.2,82.5,1
0.76,1,1,83.5,72.9,1
-0.49,3,3,76.7,92.5,1
0.02,3,2,65.9,82.8,1
0.61,6,4,95.6,79.3,1
0.44,6,3,67.3,64.8,1
0.17,3,1,84.6,81.4,1
0.32,4,4,80.0,62.0,1
0.2,5,2,84.0,90.4,1
0.52,5,3,95.1,80.6,1
1.58,5,4,83.6,66.9,1
-1.65,6,3,72.4,84.9,0
0.21,7,1,89.1,100.0,1
0.54,6,1,71.7,73.6,1
0.64,1,2,79.6,82.1,1
0.1,3,1,65.1,71.2,0
-1.01,3,1,67.7,76.9,0
0.66,4,4,78.5,59.4,1
1.78,4,1,81.7,76.0,1
-0.83,5,1,61.0,76.5,1
1.09,3,3,83.0,95.8,1
0.14,2,1,69.8,56.3,1
0.35,3,2,90.8,72.9,1
-0.44,6,4,74.5,90.2,1
0.13,2,3,66.8,73.3,1
1.44,0,4,78.8,74.1,1
0.87,7,2,68.8,66.8,1
1.79,1,3,90.7,65.7,1
1.34,4,1,78.0,55.9,1
0.75,6,2,76.5,69.1,1
1.8,2,1,83.9,65.1,1
0.75,2,4,68.0,77.3,1
1.06,2,1,65.1,67.3,1
0.16,1,1,82.1,70.7,0
0.45,1,2,67.0,71.0,0
-0.16,1,2,67.0,75.5,1
1.19,3,2,86.4,70.2,1
-0.54,4,2,83.3,64.3,1
1.03,0,2,65.5,76.9,0
0.25,6,4,71.8,87.7,1
1.34,5,3,69.0,77.4,1
1.0,0,4,95.8,69.3,1
1.86,6,4,87.1,74.6,1
0.98,0,3,73.8,53.4,1
-0.86,4,4,83.8,74.5,1
0.35,3,1,64.4,71.6,1
-0.54,4,4,71.3,65.7,1
-0.01,7,2,79.0,67.7,1
1.61,7,3,82.5,71.5,1
0.91,2,1,77.0,86.9,1
-0.16,4,1,80.5,88.0,1
-0.41,7,4,78.8,65.8,1
0.43,5,2,76.4,70.3,1
-0.57,7,1,75.0,70.6,1
-0.14,3,3,73.7,84.9,1
0.65,2,1,80.3,77.6,1
1.32,4,2,82.1,77.0,1
0.89,6,3,80.0,81.9,1
-1.43,7,3,66.2,69.4,1
0.64,5,2,68.0,91.0,1
0.46,5,2,82.0,76.0,1
0.73,4,4,92.7,66.6,1
1.69,2,1,79.5,73.5,1
-1.25,3,1,73.9,89.6,0
-0.07,3,1,80.2,71.3,1
0.87,6,4,66.6,86.4,1
-0.87,4,2,91.1,69.1,0
1.58,6,1,79.9,67.6,1
0.69,0,1,71.3,83.3,1
1.08,6,1,76.3,66.4,1
-0.06,4,4,72.7,85.0,1
1.05,7,2,91.1,79.9,1
1.25,3,1,76.0,66.4,1
0.59,3,1,79.6,75.2,1
0.59,1,3,83.7,70.0,1
0.62,6,3,70.6,79.8,1
-0.29,5,4,79.9,96.8,1
0.28,6,1,80.7,71.9,1
0.28,0,1,62.5,81.9,0
0.71,1,1,80.5,76.3,0
1.2,7,2,77.5,76.3,1
-0.45,0,3,79.3,74.2,0
0.3,4,3,78.4,66.6,1
1.59,3,1,80.6,79.7,1
-0.19,7,3,91.4,72.8,1
-0.26,6,3,66.2,66.0,1
0.56,7,1,74.6,87.2,1
1.08,2,3,84.7,77.1,1
0.41,4,2,82.8,73.5,1
1.46,5,1,82.6,90.7,1
1.09,7,2,100.0,55.8,1
1.07,0,4,84.1,90.0,1
0.84,7,3,89.3,66.3,1
2.26,2,2,74.9,78.3,1
0.24,1,4,68.1,69.5,1
-1.2,4,2,74.9,65.8,0
1.68,6,2,85.1,90.5,1
0.03,1,1,82.1,96.4,1
0.49,0,4,82.0,73.6,1
1.45,7,4,75.9,79.7,1
-0.88,7,1,74.3,76.6,1
-0.6,1,3,76.2,95.0,0
-0.88,7,4,85.2,52.8,1
-0.24,7,3,86.4,80.1,1
0.75,7,1,67.9,68.0,1
0.82,1,4,85.6,50.1,1
0.62,4,2,71.5,72.0,1
-0.73,7,2,82.7,96.3,1
-1.45,7,2,76.1,68.8,0
0.44,4,4,93.7,84.7,1
0.02,1,3,73.8,89.2,1
0.77,0,3,79.8,75.9,1
0.96,2,4,84.1,77.3,1
0.51,0,4,69.3,57.1,0
1.01,1,4,77.3,68.1,1
0.58,0,4,75.3,86.0,1
0.82,6,4,72.9,76.7,1
-0.16,4,4,73.6,80.0,1
0.26,4,3,89.1,77.5,1
0.56,6,1,72.0,100.0,1
1.06,3,1,83.7,71.3,1
0.09,3,4,81.1,93.7,1
0.82,1,2,64.0,77.5,0
0.19,3,4,83.2,94.6,1
0.31,1,4,63.9,62.5,0
1.06,4,3,84.3,78.0,1
-1.19,7,4,72.9,71.7,1
-0.64,4,2,78.1,77.5,1
-0.79,2,2,65.1,89.4,0
-1.47,5,4,79.2,80.2,0
-0.14,6,4,87.3,89.4,1
1.0,3,1,69.9,68.6,1
0.17,2,4,71.9,66.9,1
0.56,5,2,82.5,76.2,1
1.27,1,4,82.8,75.6,1
1.46,7,3,53.7,74.0,1
0.34,2,3,98.2,65.5,1
1.48,2,1,83.3,89.2,1
0.47,5,2,85.0,72.0,1
-0.27,0,3,76.6,91.7,0
-0.08,1,4,59.4,76.1,0
-0.78,1,1,84.7,83.1,0
-0.31,3,1,72.3,82.1,1
0.11,4,3,83.4,66.9,1
1.04,1,2,75.8,80.0,1
1.78,2,4,80.4,97.2,1
-0.71,6,1,70.3,78.8,1
0.71,7,2,86.6,85.9,1
-0.43,0,1,66.1,83.6,0
0.78,5,3,100.0,79.4,1
0.3,0,4,100.0,78.1,1
-1.06,4,1,94.3,82.0,1
1.14,7,2,90.8,84.4,1
-0.08,6,4,77.2,61.1,1
-0.03,1,1,89.7,78.7,0
-0.46,2,4,77.0,74.0,1
-0.12,6,4,62.5,71.7,1
0.74,6,1,93.0,90.3,1
0.25,2,1,89.3,67.9,1
0.66,0,3,77.7,60.7,1
0.69,3,1,65.7,84.8,1
1.46,4,3,72.1,60.4,1
0.13,3,1,59.8,54.8,0
-0.78,7,3,87.5,86.0,1
1.25,6,2,62.0,77.7,1
0.13,6,3,80.9,81.2,1
1.29,0,4,69.6,71.1,1
0.71,6,2,63.7,60.8,1
0.3,6,3,80.4,63.0,1
0.68,3,3,74.7,73.0,1
1.96,4,4,86.4,62.0,1
2.06,6,1,65.3,79.4,1
0.46,7,1,70.4,70.9,1
0.53,4,2,54.1,78.0,1
1.26,0,3,56.2,77.7,1
-0.28,4,4,96.0,80.3,1
0.67,5,2,98.8,81.5,1
0.38,0,1,78.9,72.2,0
0.65,6,3,69.8,78.0,1
-0.27,1,3,75.0,78.6,1
-0.87,7,2,86.7,49.3,1
-1.26,4,1,72.9,83.1,0
-0.49,2,4,80.4,77.6,1
0.03,0,4,77.9,82.2,1
0.17,0,3,72.3,61.8,0
1.95,5,3,72.7,72.5,1
1.28,3,2,80.9,64.0,1
-0.37,6,2,68.2,84.2,1
0.68,1,1,82.5,60.5,0
0.07,7,1,73.3,65.8,1
0.17,7,2,79.3,81.9,1
0.55,0,2,91.8,69.1,1
0.9,5,1,76.3,65.8,1
0.13,7,4,87.2,86.0,1
1.25,2,2,60.1,86.4,1
-0.51,0,3,73.3,83.9,0
0.41,7,2,78.3,85.3,1
2.48,3,2,97.2,73.5,1
0.58,0,4,58.4,73.7,1
1.55,6,3,77.0,68.9,1
0.47,5,4,92.6,77.8,1
0.86,0,2,70.1,70.2,1
0.35,2,2,75.9,71.2,1
0.26,0,2,81.3,82.6,0
-0.22,7,3,79.8,89.0,1
0.74,0,2,93.7,80.4,1
-0.28,6,2,82.5,95.7,1
0.93,4,1,91.3,68.2,1
1.27,4,3,74.4,55.8,1
0.69,6,3,70.6,83.9,1
0.17,7,3,75.7,67.5,1
0.76,1,4,66.4,73.0,1
0.15,0,4,82.8,56.5,0
1.15,0,4,74.1,66.1,0
-1.07,5,1,71.3,59.5,0
0.13,4,4,83.0,71.2,1
-1.19,0,2,66.6,71.7,0
-0.8,1,2,85.7,77.0,0
1.49,4,2,73.2,89.6,1
1.12,5,2,89.6,83.4,1
-0.18,2,4,74.1,58.2,0
-0.8,7,3,84.3,82.7,1
-1.97,7,4,79.8,77.2,1
-0.03,6,4,85.4,74.9,1
2.34,3,2,79.1,75.8,1
0.75,7,3,61.4,78.3,1
-0.05,5,3,88.1,68.4,1
0.77,4,2,77.1,74.0,1
-0.85,3,3,85.9,89.0,1
0.16,6,3,84.9,68.3,1
0.48,4,4,70.3,64.7,1
0.33,1,4,68.9,75.3,1
1.03,7,3,84.6,63.6,1
0.68,0,4,75.0,57.0,1
0.93,5,1,87.4,72.2,1
-0.15,5,4,76.2,91.9,1
1.12,4,2,88.2,75.6,1
1.7,0,2,82.2,78.0,1
-0.38,3,4,80.9,52.6,1
-0.31,7,2,74.3,80.8,1
1.47,1,4,80.3,77.0,1
0.25,5,2,89.9,68.7,1
1.52,6,2,77.5,78.0,1
0.05,7,2,83.3,77.9,1
1.56,4,2,78.5,64.3,1
0.51,2,4,79.2,79.7,1
0.61,5,1,95.2,89.2,1
1.65,3,3,90.0,73.5,1
0.11,5,4,78.8,66.5,1
-0.35,5,2,80.1,74.0,1
0.04,5,3,71.0,85.4,1
0.76,1,2,76.3,62.5,1
-0.85,6,1,81.1,82.4,1
0.91,4,3,86.5,68.5,1
-0.03,7,4,85.5,78.7,1
1.32,5,3,66.9,69.8,1
-1.52,7,2,87.8,69.8,0
-0.23,7,1,77.1,92.8,1
-0.95,7,4,68.1,60.5,1
-0.26,5,4,91.4,81.3,1
0.6,4,4,92.6,95.0,1
0.26,0,2,80.6,83.5,0
0.2,3,3,85.1,61.4,1
0.27,3,2,85.7,61.9,1
0.56,6,1,92.0,67.7,1
-0.41,4,1,85.3,77.7,1
0.97,3,2,64.7,78.5,1
0.93,1,3,98.1,62.0,1
0.71,5,1,88.7,66.4,1
0.85,3,3,72.9,67.1,1
0.64,0,2,67.7,74.0,0
2.03,2,4,83.0,97.8,1
0.33,7,2,75.2,65.7,1
0.15,0,1,81.3,65.3,0
-0.2,3,2,85.4,63.5,0
-0.43,4,4,72.3,83.0,1
-0.6,0,2,66.8,75.5,0
-0.31,1,3,81.9,66.1,0
0.34,7,4,72.7,72.0,1
0.67,4,2,79.5,67.3,1
0.44,1,3,64.6,79.3,1
-0.21,1,1,75.5,100.0,0
1.12,3,2,85.1,82.1,1
0.99,5,2,84.1,75.0,1
0.27,5,3,70.1,68.7,1
-0.12,1,4,66.3,61.2,0
0.84,5,2,78.2,84.1,1
0.55,7,2,83.6,83.5,1
-0.76,1,4,82.1,70.9,0
0.35,0,2,72.9,89.3,0
0.61,7,3,81.0,76.2,1
-0.32,4,3,93.0,84.5,1
0.55,6,1,80.1,79.3,1
-0.76,2,4,61.7,74.1,1
1.47,2,2,80.0,65.5,1
1.4,1,3,98.4,74.4,1
0.2,1,2,65.1,85.3,1
0.69,3,4,78.3,70.4,1
-1.53,0,3,75.7,80.8,0
-0.53,6,1,79.0,64.1,1
0.16,4,1,79.9,84.6,1
-0.46,7,4,89.4,79.4,1
0.97,4,3,78.8,62.8,1
2.0,2,2,90.8,73.5,1
-0.54,4,1,76.8,86.2,1
-0.27,1,1,74.5,62.2,0
0.59,6,4,71.3,64.2,1
1.69,5,4,59.8,75.2,1
-0.58,1,2,80.8,99.5,1
0.6,4,1,98.5,68.6,1
1.86,4,2,82.6,81.4,1
-0.92,1,1,84.9,78.9,0
-0.62,0,3,73.9,69.5,0
0.06,6,3,75.6,77.8,1
-0.02,2,4,87.8,71.1,1
1.05,4,2,98.1,72.1,1
0.59,1,1,92.9,57.7,1
-1.02,5,1,86.1,75.7,0
0.81,0,2,78.4,85.9,1
-0.06,2,3,80.1,76.6,1
1.42,4,1,70.5,88.0,1
-0.1,3,4,63.5,82.4,1
-0.11,4,2,66.7,75.3,1
0.83,1,4,78.5,69.1,1
1.01,3,2,75.1,70.7,1
0.76,6,1,63.3,59.8,1
-0.95,2,1,77.6,73.1,0
0.83,1,3,74.8,77.6,1
-0.43,6,3,66.3,94.9,1
0.59,6,4,74.3,81.8,1
-0.74,5,4,74.8,66.5,1
0.76,6,1,71.8,60.2,1
-0.25,6,2,87.3,73.7,1
-0.63,5,1,59.0,84.9,0
0.97,4,1,58.1,73.6,1
0.59,0,1,78.0,82.0,0
-0.09,4,1,79.0,74.0,1
1.56,2,3,82.0,83.9,1
0.05,6,1,72.6,58.4,1
0.43,3,1,68.8,93.6,1
0.62,7,1,77.9,63.8,1
-0.1,4,3,73.6,84.7,1
0.78,4,3,93.5,73.0,1
-0.03,7,4,74.8,74.7,1
0.07,3,1,77.5,73.3,1
1.49,3,1,100.0,78.8,1
-0.43,2,2,76.1,81.0,0
-1.53,7,3,83.6,87.6,1
1.69,6,1,84.5,91.5,1
2.44,1,1,85.3,79.7,1
0.08,3,2,80.9,94.9,1
-1.15,2,1,79.9,77.0,0
0.15,5,2,79.0,87.9,1
0.17,0,4,72.2,80.7,0
0.25,5,3,81.3,70.0,1
-0.49,5,2,98.3,78.0,1
0.86,1,2,90.1,81.5,1
0.82,1,4,81.0,75.6,1
-0.8,5,3,86.6,80.5,1
0.96,2,3,69.3,85.5,1
2.04,7,4,75.4,75.7,1
0.54,6,1,87.5,43.6,1
0.13,7,1,92.9,94.5,1
0.29,4,2,70.3,72.7,1
0.89,7,2,73.2,66.9,1
-0.98,0,1,99.8,63.6,0
0.53,2,1,79.0,72.3,1
0.09,0,4,96.2,69.8,1
1.88,5,3,80.1,67.9,1
0.26,4,3,80.5,68.5,1
1.73,2,1,74.9,81.8,1
-0.48,2,2,87.4,98.3,1
0.87,5,3,91.6,85.0,1
0.66,1,3,67.6,88.3,1
-0.3,4,3,74.5,71.8,1
0.54,4,3,87.2,77.2,1
1.37,1,2,76.7,80.7,1
0.14,1,4,73.1,68.7,1
-0.95,2,2,88.1,71.3,1
0.39,4,1,89.0,85.4,1
-0.32,2,4,73.5,88.0,1
0.13,3,1,80.1,76.7,1
0.33,4,2,65.9,62.9,1
-0.96,1,1,69.0,72.7,0
-0.89,4,1,79.2,60.1,0
0.79,1,2,78.3,76.8,1
-0.02,1,1,68.3,78.8,0
-1.65,1,2,70.8,73.0,0
1.03,2,4,67.3,78.7,1
0.62,0,1,82.6,80.6,1
-0.17,7,4,58.3,78.8,1
-0.65,2,2,67.9,62.8,0
1.07,6,3,59.4,73.2,1
0.68,7,2,82.2,80.5,1
2.31,6,2,60.0,93.4,1
0.74,6,1,78.3,73.0,1
0.71,0,3,94.4,82.1,1
0.27,2,4,94.7,85.7,1
1.05,5,3,59.9,73.8,1
0.9,4,3,81.0,88.6,1
1.4,0,3,68.1,89.2,1
-0.02,4,2,66.1,91.2,1
0.05,6,1,76.9,81.0,1
0.02,6,3,90.3,100.0,1
1.03,3,4,84.0,69.2,1
1.6,1,2,70.8,99.4,1
0.03,2,4,85.1,84.5,1
0.06,2,4,55.6,90.7,1
0.65,2,1,70.5,72.5,0
0.2,2,3,69.8,85.3,1
1.16,3,3,78.8,91.7,1
-1.4,0,2,76.0,64.0,0
-0.26,2,3,76.6,74.2,1
-0.23,2,4,76.3,52.4,0
-1.46,1,3,78.2,74.0,0
-0.37,7,4,83.4,67.0,1
-0.33,5,4,79.5,73.6,1
0.24,7,4,75.2,100.0,1
1.29,4,4,82.0,94.9,1
0.2,0,1,86.3,60.2,0
-0.42,7,1,72.4,82.1,1
0.35,3,1,77.4,84.8,1
1.24,5,1,89.6,72.3,1
-0.38,3,3,67.0,78.0,0
-0.33,3,3,96.0,79.0,1
0.85,3,2,64.6,61.2,1
0.22,2,1,74.5,64.7,1
0.92,4,3,68.5,77.9,1
0.39,5,2,99.9,77.1,1
0.96,0,4,73.0,68.2,0
-0.43,1,1,73.0,67.3,0
0.39,6,2,74.3,75.0,1
0.23,4,1,79.0,85.7,1
-0.57,7,2,74.7,75.2,1
-0.85,4,4,76.7,93.9,1
0.95,5,2,42.7,68.3,1
0.12,7,2,78.6,78.1,1
-0.42,5,2,78.2,72.1,1
0.32,2,2,88.4,82.5,1
1.3,4,3,91.1,67.4,1
-1.42,1,4,76.1,97.2,0
-0.8,2,3,86.2,57.4,0
-0.34,5,3,67.0,94.9,1
1.57,1,2,85.7,77.0,1
0.63,5,1,72.3,82.1,1
1.01,4,3,66.2,90.7,1
-0.51,2,4,76.1,85.4,0
-0.5,0,3,92.0,68.0,0
0.76,5,1,79.8,82.6,1
0.45,6,3,93.0,96.5,1
0.84,5,4,70.5,66.2,1
0.25,3,1,88.5,99.3,1
0.62,5,1,71.5,80.2,1
0.53,3,3,80.3,71.2,1
1.02,2,2,80.2,66.2,1
1.05,2,3,84.6,73.5,1
-0.9,1,3,80.5,54.5,0
-1.4,7,2,70.6,71.4,0
1.2,5,1,86.8,73.1,1
1.35,1,3,95.3,64.2,1
-0.42,6,2,72.2,84.2,1
-1.09,1,4,59.6,73.6,0
0.48,4,2,83.0,69.0,1
1.14,1,1,74.7,72.4,1
1.84,2,4,76.7,79.9,1
0.81,5,3,83.6,76.8,1
0.1,7,3,73.4,68.3,1
-0.31,7,4,75.3,77.4,1
0.41,7,4,77.0,75.4,1
0.16,1,4,92.7,63.5,1
-0.41,0,4,78.3,72.8,1
2.04,7,2,65.6,82.4,1
1.83,7,1,66.0,82.3,1
1.31,2,3,79.4,73.5,1
-0.34,0,4,66.7,83.4,0
1.08,5,4,62.4,65.2,1
0.91,0,3,84.4,65.6,1
0.75,0,3,84.8,73.2,1
